org_id	bad sentence	good sentence	error_types	corrections	comments	source	model
c0019	Jeg kigger på hende. Hun er smuk. Ikke på den der "perfekte" måde, men på den der... ægte måde. Hun har en lille ar på sin hånd. En gammel ar.	Jeg kigger på hende. Hun er smuk. Ikke på den der "perfekte" måde, men på den der... ægte måde. Hun har et lille ar på sin hånd. Et gammelt ar.	SB congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0020	Hun vil spørge, hvorfor jeg er så ked af det. Jeg skal være forberedt på det. Jeg skal sige, at jeg har haft en svær uge.	Hun vil nok spørge, hvorfor jeg er så ked af det. Jeg bør være forberedt på det. Jeg vil sige, at jeg har haft en svær uge.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0021	Jeg skal have et par kaffeer med mig. Og måske en lille snack. Bare for at have noget i hånden. Bare for at have noget at fokusere på.	Jeg skal have lidt kaffe med mig. Og måske en lille snack. Bare for at have noget i hånden. Bare for at have noget at fokusere på.	form			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0022	Jeg skal tage en hurtig bad. Jeg skal få gjort mit hår. Jeg skal se godt ud. Jeg skal se… attraktiv ud. Hun er jo stadig tiltrukket af mig.	Jeg skal tage et hurtigt bad. Jeg skal sætte mit hår. Jeg skal se godt ud. Jeg skal se… attraktiv ud. Hun er jo stadig tiltrukket af mig.	word choice, SB congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0023	Den eneste lyd var den høje, skarpe klang af knuste sten under støvlerne, da Kagekage trådte ind i den forladte tempel.	Den eneste lyd var en høj, skarp klang af knuste sten under støvlerne, da Kagekage trådte ind i det forladte tempel.	SB congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0025	Vi stod i en perfekt linje. Højre hånd i lommen, venstre hånd ved siden af kroppen. Mine fingre ville ikke blive der. De krøb op ad min underarm, som om de prøvede at finde hjem i den ukendte krop.	Vi stod i en lige linje. Højre hånd i lommen, venstre hånd ved siden af kroppen. Mine fingre ville ikke blive der. De krøb op ad min underarm, som om de prøvede at finde hjem i den ukendte krop.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0026	Hans fingre finder min venstre skulderblad. De er varme, for varme, og jeg kan mærke hvordan hans hud suger varmen ud af mine egne.	Hans fingre finder mit venstre skulderblad. De er varme, for varme, og jeg kan mærke hvordan hans hud suger varmen ud af min egen.	SB congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0027	Jeg trækker vejret dybt, men luften føles tyk som sirup. Hans tommelfinger finder den øverste del af skulderbladet, lige under øret, og jeg kan mærke hvordan hans negle skraber let mod huden.	Jeg trækker vejret dybt, men luften føles tyk som sirup. Hans tommelfinger finder den øverste del af skulderbladet, lige under nakken, og jeg kan mærke hvordan hans negle skraber let mod huden.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0028	Retssalen i Drømmenes Court var en oval sal af flydende sølv, hvor loftet var et spejl af sovende ansigter, der blinkede i takt med den langsomme puls fra de tusindvis af sovende hoveder.	Retssalen i Drømmenes slot var en oval sal af flydende sølv, hvor loftet var et spejl af sovende ansigter, der blinkede i takt med den langsomme puls fra de tusindvis af sovende hoveder.	language			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0029	Jeg sad op i sengen, mærkede det kolde gulv under mine fødder, og tog jadefigurinden frem fra min inderlomme. Den var kold og glat i mine hænder, og jeg gnidede den mod min tommelfinger, mens jeg prøvede at finde roen.	Jeg sad op i sengen, mærkede det kolde gulv under mine fødder og tog jadefiguren frem fra min inderlomme. Den var kold og glat i mine hænder, og jeg gned den mod min tommelfinger, mens jeg prøvede at finde ro.	comma, word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0030	Godmorgen, Merrick, sagde jeg til mig selv, mens jeg kiggede ud af vinduet. "I dag skal du være stærk."	Godmorgen, Merrick, sagde jeg til mig selv, mens jeg kiggede ud ad vinduet. "I dag skal du være stærk."	adverbs			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0032	Hun har lige fået at vide, at hendes dom for mord var "forsætlig drab med forudgående planlægning" - en løgn, der fik hendes kinder til at brænde.	Hun har lige fået at vide, at hendes dom for mordet var "skyldig i forsætligt drab med forudgående planlægning" – en løgn, der fik hendes kinder til at brænde.	ADJ congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0033	Jeg vågner altid med den samme fornemmelse af at have glemt noget vigtigt. Ikke en hukommelse om hvad, men en fornemmelse af at noget er ved at ske. I dag var det værre. Jeg havde glemt at låse laboratoriet.	Jeg vågner altid med den samme fornemmelse af at have glemt noget vigtigt. Uden en præcis erindring om hvad det er, men en fornemmelse af at noget er ved at ske. I dag var det værre. Jeg havde glemt at låse laboratoriet.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0035	Og hemmeligheder kræver isolation. Det er ikke en straf, men en nødvendighed. Det er ikke en fængsel, men en redning.	Og hemmeligheder kræver isolation. Det er ikke en straf, men en nødvendighed. Det er ikke et fængsel, men en redning.	SB congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0036	Transportfartøjets luftfiltreringssystem brummer med en vedvarende mekanisk drone, som om selve maskinen var træt af at trække vejret.	Transportfartøjets luftfiltreringssystem brummer med en vedvarende mekanisk tone, som om selve maskinen var træt af at trække vejret.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0037	En gruppe mænd i sort uniform stod ved kanten af slusen. De var ikke fra nogen selskab, han kendte.	En gruppe mænd i sorte uniformer stod ved kanten af slusen. De var ikke fra noget selskab, han kendte.	SB congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0038	Solen skærer gennem de revnede glasplader og tegner skarpe skygger over bordpladen, hvor en enkelt LED-pære hænger i en tynd kobbertråd. Jeg står på en tømmerstok, der engang var en kaffemaskine fra 2034, og skruer forsigtigt på en gammel PCR-maskine, der stadig bærer logoet for NovoGen.	Solen skærer gennem de revnede glasplader og tegner skarpe skygger over bordpladen, hvor en enkelt LED-pære hænger i en tynd kobbertråd. Jeg står på en tommestok, der engang var en kaffemaskine fra 2034, og skruer forsigtigt på en gammel PCR-maskine, der stadig bærer NovoGens logo.	word order			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0039	Jeg har ikke rørt den i månedsvis, men den virker stadig. Måske er det fordi den er gammel nok til at være ligeglad. Måske er det fordi den er designet til at være kortlivede. Jeg har hørt, at de gamle selskaber byggede deres teknologi til at være kortlivede. At de *ønskede* at kollapsen skulle ske. At det var en del af forretningsmodellen.	Jeg har ikke rørt den i månedsvis, men den virker stadig. Måske er det fordi den er gammel nok til at være ligeglad. Måske er det fordi den er designet til at være kortlivet. Jeg har hørt, at de gamle selskaber byggede deres teknologi til at være kortlivet. At de *ønskede* at deres produkter skulle gå i stykker. At det var en del af forretningsmodellen.	ADJ congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0042	Jeg tager en trække rødt tøj og binder det om mig, føler huden klamme mod kroppen—en erindring om at jeg endnu lever.	Jeg tager en bunke rødt tøj og binder det rundt om mig, det føles klamt mod huden — og minder mig om at jeg stadig er i live.	word choice			creative writing	allenai_Olmo-3-32B-Think
c0046	Måske er det bare en smule træthet, du føler? Læg dig ned i notbooket og skriv hvad der gør dig glad.	Måske føler du dig bare lidt træt? Sæt dig med notesbogen og skriv hvad der gør dig glad.	word order, word choice, language, particles			creative writing	allenai_Olmo-3-32B-Think
c0048	Alle noter, brev eller skriftlige kommunikationer fra Researcher XXXXXX skal indsamles og analyseres af psykologisk personale.	Alle sedler, breve eller anden skriftlig kommunikation fra forskeren XXXXXX skal indsamles og analyseres af personale med faglig viden om psykologi	word choice			creative writing	allenai_Olmo-3-32B-Think
c0053	Deres uniformer var sort, med glansende bæger og en insigne, der lignede en stjerne med to sværdhæfter.	Deres uniformer var sorte,med skinnende skulderstropper og et skilt der lignede en stjerne med to sværdskæfter	word choice			creative writing	allenai_Olmo-3-32B-Think
c0054	“Mister Neegan?” sagde en kvinde med hvid hår, der bøjte sig nærmere.	“Mister Neegan?” spurgte en hvidhåret kvinde, der bøjede sig ind over ham	word choice, word order, VB conj			creative writing	allenai_Olmo-3-32B-Think
c0062	Han tager en sidelong blik på den skuffe med frø. De vil blomstere. Men ikke her. Ikke i dette laboratorium. Ikke i denne verden.	Han kaster et sideblik på skuffen med frø. De vil blomstre på et tidspunkt. Men ikke her. Ikke i dette laboratorium. Ikke i denne verden.	language, word choice, missing element			creative writing	allenai_Olmo-3-32B-Think
c0064	Men om natten, når solen er en sværd i himlen, tror jeg, at stjernerne alligevel kan høre. At de viser vej. At de viser vej til noget, der ikke er her.	Men om natten, når solen er et sværd på himlen, tror jeg, at stjernerne alligevel kan høre os. At de viser vej. At de viser vej til noget, der ikke er her.	SB congruence, particles, missing element			creative writing	allenai_Olmo-3-32B-Think
c0070	En dør klinker. Han snurrer om. I skyligheden står en figure i en mørk jakke, ansigt skjult bag en rustet masker.	Der er en dør der knirker. Han vender sig hurtigt om. I skyggen står der en person i mørk jakke med ansigtet skjult bag en rusten jernmaske.	word choice, word order, missing element, language, SB congruence			creative writing	allenai_Olmo-3-32B-Think
c0114	Midas stod på den ødelagte, grå overflade af det, der engang var en shoppingcenter gade, og kiggede på den smalle, knæbøjet sti, der førte ind i det, der nu bare var en række forladte bygninger og en uendelig grå skov af træer, der havde glemt, hvordan man vokser.	Midas stod på den ødelagte, grå overflade af det, der engang var en indkøbsgade, og kiggede på den smalle sti, der førte ind i det, der nu bare var en række forladte bygninger og en uendelig grå skov af træer, der havde glemt, hvordan man vokser.	word choice			creative writing	openai_gpt-oss-20b
c0115	Vi skal finde den skjulte tilflugtssted, der er gemt i ødemarken. Jeg har læst den kryptiske graffiti. Det siger: ‘Hvor koalas sover, der er et hus.’	Vi skal finde det skjulte tilflugtssted, der er gemt i ødemarken. Jeg har læst den kryptiske graffiti. Den siger: ‘Hvor koalaer sover, der er et hus.’	language			creative writing	openai_gpt-oss-20b
c0116	De gik ind i hytte, og Midas kiggede på Chewy. “Det er et hus, der er skjult i ødemarken. Det er et hus, der er blevet glemt af både mennesker og teknologi. Lad os gå, for hvis vi ikke gør det, vil vi blive spist af en flok af forvirrede, men stadig meget sultne, robotkoaler.”	De gik ind i hytten, og Midas kiggede på Chewy. “Det er et hus, der er skjult i ødemarken. Det er et hus, der er blevet glemt af både mennesker og teknologi. Lad os gå, for hvis vi ikke gør det, vil vi blive spist af en flok af forvirrede, men stadig meget sultne, robotkoalaer.”	SB congruence, form			creative writing	openai_gpt-oss-20b
c0117	Natten var endnu ikke helt faldet på, men skumringen havde allerede slidt en blød, sølvgrå slør over Coney Island	Natten var endnu ikke helt faldet på, men skumringen havde allerede slidt et blødt, sølvgråt slør over Coney Island	SB congruence			creative writing	openai_gpt-oss-20b
c0118	Det var midt på en af de færre gader, hvor de gamle rullende karnevalsspil og de glitrende lygter fra de farvede boder var i stand til at blande sig med den mørke, næsten truende skygge af havet.	Det var midt på en af de få gader, hvor de gamle rullende karnevalsforlystelser og de glitrende lygter fra de farvede boder var i stand til at blande sig med den mørke, næsten truende skygge af havet.	word choice			creative writing	openai_gpt-oss-20b
c0119	Den smalle gang er fyldt med neon, lyd og en konstant strøm af mennesker, der hopper fra en elektronikbutik til den næste.	Den smalle gang er fyldt med neon, lyd og en konstant strøm af mennesker, der myldrer af sted fra en elektronikbutik til den næste.	word choice			creative writing	openai_gpt-oss-20b
c0120	Ben, en britisk akademiker på orlov, sidder på en benk, dybt koncentreret over en guidebog.	Ben, en britisk akademiker på orlov, sidder på en bænk, dybt opslugt af en guidebog.	language, word choice			creative writing	openai_gpt-oss-20b
c0121	Han var 19, men han bar en slags uafhængighed, som jeg normalt kun ser hos de, der er klar til at bryde reglerne.	Han var 19, men han udstrålede en slags uafhængighed, som jeg normalt kun ser hos de, der er klar til at bryde reglerne.	word choice			creative writing	openai_gpt-oss-20b
c0122	Jeg tænkte på, hvordan jeg normalt er til at udtrykke mig selv med klare, tydelige farver og stærke linjer.	Jeg tænkte på, hvordan jeg normalt er god til at udtrykke mig med klare, tydelige farver og stærke linjer.	missing element			creative writing	openai_gpt-oss-20b
c0123	Jeg kan ikke lade være med at tænke: “Dette er perfekt. Jeg kan bruge hendes interesse for kort som et social engineering værktøj.”	Jeg kan ikke lade være med at tænke: “Dette er perfekt. Jeg kan bruge hendes interesse for kort som et værktøj til at manipulere hende.”	language			creative writing	openai_gpt-oss-20b
c0125	Jeg har en crush på ham – det er ikke en hemmelighed, men det er også et hemmeligt, som kun jeg ved.	Jeg har et crush på ham – det er ikke en hemmelighed, men det er også en hemmelighed, som kun jeg ved.	word choice			creative writing	openai_gpt-oss-20b
c0126	Men den stemme er ikke den, der kan stå i en klasse og sige noget, som ikke føles som en skæve, skrøbelig lyd, der næsten bliver aflyttet.	Men den stemme er ikke den, der kan stå i en klasse og sige noget, som ikke føles som en skæv, skrøbelig lyd, der næsten ikke kan høres.	word choice			creative writing	openai_gpt-oss-20b
c0127	Jeg kan mærke, at jeg holder vejret, og jeg kan mærke, at mine hænder er svette.	Jeg kan mærke, at jeg holder vejret, og jeg kan mærke, at mine hænder er svedige.	language			creative writing	openai_gpt-oss-20b
c0128	Jeg kan høre projektoren pip igen. “Pip!” Det er som et signal, der får mig til at stoppe op i min tanke og fokusere.	Jeg kan høre projektoren pippe igen. “Pip!” Det er som et signal, der afbryder mine tanker og får mig til at fokusere.	word choice, VB conj, SB congruence			creative writing	openai_gpt-oss-20b
c0129	Jeg stod på kanten af studiets spejle, og den store digitale ur på væggen blinkede 00:00:12 ned på den sidste sekunder af vores første dag	Jeg stod på kanten af studiets spejle, og det store digitale ur på væggen blinkede 00:00:12, de sidste sekunder af vores første dag.	SB congruence			creative writing	openai_gpt-oss-20b
c0130	Jeg kunne mærke muskelhukommelsen falde, som om den var en gammel film, der var blevet afspillet på et forældet projektor.	Jeg kunne mærke muskelhukommelsen falme, som om den var en gammel film, der var blevet afspillet på en forældet projektor.	word choice			creative writing	openai_gpt-oss-20b
c0132	jeg kan mærke min egen åndedræt blive hurtigere, og jeg kan mærke min egen puls stige, mens jeg forsøger at holde mig rolig	jeg kan mærke mit eget åndedræt blive hurtigere, og jeg kan mærke min puls stige, mens jeg forsøger at holde mig rolig	SB congruence			creative writing	openai_gpt-oss-20b
c0135	Jeg trådte ud af sengen, greb den lille jadefigur, der lå i lommen, og gnagde den, mens jeg mærkede den kolde, glatte overflade mod min hud.	Jeg trådte ud af sengen, greb den lille jadefigur, der lå i lommen, og gned den, mens jeg mærkede den kolde, glatte overflade mod min hud.	language			creative writing	openai_gpt-oss-20b
c0136	Gaderne er stille, men den svage lyd af vand, der drypper fra en revet rørledning, gør, at selv de mest roligste tanker føles som om de bliver overvåget.	Gaderne er stille, men den svage lyd af vand, der drypper fra en revnet rørledning, gør, at selv de mest rolige tanker føles, som om de bliver overvåget.	word choice			creative writing	openai_gpt-oss-20b
c0137	Arthur var ombord på transportfartøjet, der trillede stille gennem den bløde, støvetørkede atmosfære af den sydlige koloni.	Arthur var ombord på transportfartøjet, der trillede stille gennem den sydlige kolonis bløde, støvede atmosfære.	word order, word choice			creative writing	openai_gpt-oss-20b
c0138	Han rakte Arthur en kort, men detaljeret kort af den rige, der lå under hans jord. "Din parcel er ikke kun en simpel jordklump. Det er en Azra-åre, og vi har brug for at sikre, at den forbliver i sikre hænder."	Han rakte Arthur et lille, men detaljeret kort over det rige, der lå under hans jord. "Din parcel er ikke kun en simpel jordklump. Det er en Azra-åre, og vi har brug for at sikre, at den forbliver i sikre hænder."	word choice			creative writing	openai_gpt-oss-20b
c0139	Panelerne er ikke længere, end de var i deres bedste år – de er et mosaik af gamle, skramlede skærmflader, der er blevet smeltet sammen med en stykke rustent aluminium og en håndfuld kobbertråde.	Panelerne er ikke længere, som de var i deres bedste år – de er et mosaik af gamle, skrammede skærmflader, der er blevet smeltet sammen med en stykke rustent jern og en håndfuld kobbertråde.	word choice			creative writing	openai_gpt-oss-20b
c0140	En person, der kalder sig selv "Lys", har sendt mig et besked via en krypteret kanal.	En person, der kalder sig selv "Lys", har sendt mig en besked via en krypteret kanal.	SB congruence			creative writing	openai_gpt-oss-20b
c0141	Jeg bruger en gammel, rusten, men stadig funktionel, PCR-maskine, og jeg kombinerer den med en lille, men effektiv, centrifuge, som jeg har lavet ud af et trillebør.	Jeg bruger en gammel, rusten, men stadig funktionel, PCR-maskine, og jeg kombinerer den med en lille, men effektiv, centrifuge, som jeg har lavet ud af en trillebør.	SB congruence			creative writing	openai_gpt-oss-20b
c0142	En saxofonister sidder på et hjørne, hans musikkrybende toner blander sig med lyden af en bil, der passerer for hurtigt.	En saxofonist sidder på et gadehjørne, hans dvælende toner blander sig med lyden af en bil, der passerer for hurtigt.	word choice, language			creative writing	openai_gpt-oss-20b
c0143	Jeg er en af de, der har mistet alt, men jeg har stadig en drøm.	Jeg er en af dem, der har mistet alt, men jeg har stadig en drøm.	other		pronoun	creative writing	openai_gpt-oss-20b
c0144	Aya, Katra, og Simeon trådte ind i underholdets mørke, hvor den svage lamplampe glimtede som et svagt stjerneskud over de kolde, stenbelagte gulve.	Aya, Katra, og Simeon trådte ind i kryptens mørke, hvor den svage petroleumslampe glimtede som et svagt stjerneskud over de kolde, stenbelagte gulve.	word choice			creative writing	openai_gpt-oss-20b
c0145	En ung kvinde med en glødende, farverig kjole sidder ved siden af ham og smiler. Hun er en handelskvinde, og hendes øjne følger den fremmede med en blanding af fascination og frygt.	En ung kvinde med en funklende, farverig kjole sidder ved siden af ham og smiler. Hun er en handelskvinde, og hendes øjne følger den fremmede med en blanding af fascination og frygt.	word choice			creative writing	openai_gpt-oss-20b
c0146	Han ser mig på, og jeg kan mærke, at han er vant til at blive bedt om ting. Han er en smuggler, og jeg ved det. Men jeg kan også mærke, at han er mere end bare en smuggler. Han har en plan, og han vil ikke lade sig stoppe af noget.	Han ser mig på, og jeg kan mærke, at han er vant til at blive bedt om ting. Han er en smugler, og jeg ved det. Men jeg kan også mærke, at han er mere end bare en smugler. Han har en plan, og han vil ikke lade sig stoppe af noget.	language			creative writing	openai_gpt-oss-20b
c0149	Vi talte lavt og hurtigt om vores dag, mens vi spiste vores brødkage og drak en skvælling vand.	Vi talte lavt og hurtigt om vores dag, mens vi spiste vores brødkage og drak en slurk vand.	word choice, form			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0150	Hvad skal jeg skrive? Det er bare så længe siden jeg forlod Glasgow, og nu sidder jeg her på Eilean Donan, alene med mit tænke.	Hvad skal jeg skrive? Det er bare så længe siden jeg forlod Glasgow, og nu sidder jeg her på Eilean Donan, alene med mine tanker.	SB congruence, word choice			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0151	Jeg håber, du sender mig noget breve snart.	Jeg håber, du sender mig et brev snart.	adverbs			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0152	Sconerne var som en lille smag af hjemme, og bogen af Irvine Welsh var så god, at jeg ikke kunne slukke for lampen før jeg havde læst den hele.	Sconesene smagte lidt af hjemmebag, og bogen af Irvine Welsh var så god, at jeg ikke slukkede lyset før jeg havde læst den til ende.	word choice			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0196	Arthur følte en stikker af spænding. "Et tilbud?"	Arthur mærkede et stik af spænding. "Et tilbud?"	word choice			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0197	Min navn er Maya, og jeg er en biohacker, der har tilbragt hele mit liv med at eksperimentere med livets byggesten.	Min navn er Maya. Jeg er biohacker og har tilbragt hele mit liv med at eksperimentere med livets byggesten.	particles			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0198	Men den genteknologi, der er til rådighed, er ikke til at stole på. Den er konstrueret til at holde kun én generation, før den begynder at nedbryde sig selv.	Men den genteknologi, der er til rådighed, er ikke til at stole på. Den er konstrueret til kun at holde én generation, før den begynder at nedbryde sig selv.	word order			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0199	Jeg føler en følelse af tryghed, da hun omfavner mig. Jeg føler, at jeg kan åbne op og være mig selv.	Jeg får en følelse af tryghed, da hun omfavner mig. Jeg føler, at jeg kan åbne op og være mig selv.	word choice			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0200	Han var klædt i en fin, sort kost, og hans ansigt var omgivet af et tykt skær af rødlig hud, der gjorde ham til en skræmmende syn.	Han var klædt i en fin, sort kappe, og han var omgivet af et lys der gav hans ansigt et rødligt skær. Det gjorde ham til en skræmmende syn.	other, word choice		rephrasing	creative writing	meta-llama_Llama-3.1-8B-Instruct
c0201	Aya følte en kulde, der strømmede gennem hendes krop. Hun var fanget. Hun kunne se det i gildelederens øjne, og hun vidste, at hun var ved at tabe kontrol over situationen.	Aya mærkede en kulde, der strømmede gennem hendes krop. Hun var fanget. Hun kunne se det i gildelederens øjne, og hun vidste, at hun var ved at miste kontrollen over situationen.	word choice			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0202	Jeg kommer fra... overalt, svarer han med en smil, der får mine anelser til at vokse.	Jeg kommer fra... overalt, svarer han med en smil, der bekræfter mine bange anelser.	word choice			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0203	Jeg skubber flasken til siden og henter en ny glas. Når jeg vender mig tilbage, har han allerede betalt med en håndfuld krediter, der glider over baren som en løber.	Jeg skubber flasken til side og henter et nyt glas. Da jeg vender mig tilbage, har han allerede betalt med en håndfuld mønter, der glider over baren.	word choice			creative writing	meta-llama_Llama-3.1-8B-Instruct
c0204	Da jeg stod op, følte jeg den kolde sten under mine fødder. Jeg gik hen til den lille statue af Mitra, min yndlingsguddom, der stod i hjørnet af min celle.	Da jeg stod op, følte jeg det kolde stengulv under mine fødder. Jeg gik hen til den lille statue af Mitra, min yndlingsguddom, der stod i hjørnet af min celle.	word choice			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0205	Luften var fyldt med lyden af stål, der klirrede mod stål, og mænd, der puffede og stønnede.	Luften var fuld af den klirrende lyd af stål mod stål, og mænd, der puffede og stønnede.	form			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0206	Jeg gik hen til vores træner, en gammel gladiator, der havde overlevet mange kampe. Han så på mig og nikkede. "I dag skal vi træne med net og svard," sagde han.	Jeg gik hen til vores træner, en gammel gladiator, der havde overlevet mange kampe. Han så på mig og nikkede. "I dag skal vi træne med net og sværd," sagde han.	form		spelling error	creative writing	meta-llama_Llama-3.3-70B-Instruct
c0207	Jeg håber, dette brev finder dig i godt helbred.	Jeg håber du har det godt.	other		rephrasing	creative writing	meta-llama_Llama-3.3-70B-Instruct
c0208	Jeg er nu på min postering på Eilean Mòr Fyr, og det er en smule svært at vænne sig til isolationen her.	Jeg er nu på min post på Eilean Mòr Fyr, og det er lidt svært at vænne sig til isolationen her.	word choice			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0209	Jeg er så glad for at høre fra dig! Jeg var begyndt at bekymre mig, da jeg ikke havde hørt noget fra dig i så længe.	Jeg er så glad for at høre fra dig! Jeg var begyndt at blive bekymret, da jeg ikke havde hørt fra dig længe.	word choice			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0211	Undskyld, jeg håber ikke jeg forstyrrer, sagde skuespilleren, da han trådte ind i den lille byboghandel.	Undskyld, jeg håber jeg ikke forstyrrer, sagde skuespilleren, da han trådte ind i den lille boghandel.	word choice, word order			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0212	Boghanderen, en kvinde med langt, mørkt hår og briller, så op fra disken, hvor hun var i gang med at pakke bogbestillinger ind. "Ikke overhovedet," sagde hun med en venlig, men ikke særlig imødekommende tone. "	Boghandleren, en kvinde med langt, mørkt hår og briller, så op fra disken, hvor hun var i gang med at pakke bogbestillinger ind. "overhovedet ikke," sagde hun med en høflig, men ikke særlig imødekommende tone. "	word order, word choice			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0213	Skuespilleren lo og gik hen til en hylderæk med klassikere. "Jeg elsker denne type boghandlere," sagde han. "Der er noget så hyggeligt over at være omgivet af bøger."	Skuespilleren lo og gik hen til en hylderække med klassikere. "Jeg elsker den her slags boghandlere," sagde han. "Der er noget meget hyggeligt over at være omgivet af bøger."	word choice			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0215	Vi satte os i gang, Chewy sikkert fastholdt i min arm, og Midas førte an. Vi gik gennem den øde landsby, forbi ruinerne af husene og butikkerne.	Vi begav os afsted, Chewy holdt sikkert fast i min arm, og Midas førte an. Vi gik gennem den øde landsby, forbi det der var tilbage af de ødelagt huse og butikker.	word choice, word order			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0217	Inde i fabrikken var der mørkt og stille, og jeg kunne høre lyden af mine egne skridt ekkoer af væggene.	Inde i fabrikken var der mørkt og stille, og jeg kunne høre lyden af mine egne skridt give ekko mod væggene.	word choice			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0218	De så ud til at være overlevende, ligesom os, men de så også ud til at være i en dårlig humør.	De så ud til at være i live, ligesom os, men de så også ud til at være i dårligt humør.	other, word choice		rephrasing	creative writing	meta-llama_Llama-3.3-70B-Instruct
c0219	Er du sikker på, du vil være her? spurgte jeg, og min stemme var mere end bare en spørgsmål.	Er du sikker på, du vil være her? spurgte jeg, og det var mere end bare et spørgsmål.	language			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0220	Hun var på vej til at aflevere en pakke, da hun pludselig fik øje på en mand, der stod og stirrede på en guidebog, helt opslugt af sine egne tanker.	Hun var på vej til at aflevere en pakke, da hun pludselig fik øje på en mand, der stod og stirrede i en guidebog, helt opslugt af sine egne tanker.	particles			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0221	De talte videre og fik at vide, at de havde mange fælles interesser, selv om de kom fra forskellige kulturer og havde forskellige baggrunde.	De talte videre og opdagede, at de havde mange fælles interesser, selv om de kom fra forskellige kulturer og havde forskellige baggrunde.	word choice			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0222	Undervejs standsede de ved en lille café, hvor Alessandra bestilte to kop kaffe og en kanne vand.	På vejen standsede de ved en lille café, hvor Alessandra bestilte to kopper kaffe og en kande vand.	word choice			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0223	Jeg stod i mørkekammeret, omgivet af det røde lys, der skabte en varm og intimitetfuld atmosfære.	Jeg stod i mørkekammeret, omgivet af rødt lys, der skabte en varm og intim atmosfære.	word choice			creative writing	meta-llama_Llama-3.3-70B-Instruct
c0224	Mens vi arbejdede, skete der et uheld. En stak fotopapir blev eksponeret og blev ubrugelig.	Mens vi arbejdede, skete der et uheld. En stak med fotopapirer blev eksponeret, og de blev ubrugelige.	missing element, ADJ congruence			creative writing	meta-llama_Llama-3.3-70B-Instruct
